objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,SpType,BV,TEff,FeH
1237655464853701260,231.374889169713,53.1357963859551,23.25499,22.01631,20.20285,19.38419,18.87051,2326,301,4,237,7559446838967031808,GALAXY,0.4639992,6714,56447,563,,0,0,0
1237655464853700834,231.228854858271,53.2271915824286,23.23027,22.56532,21.17553,20.08891,19.55515,2326,301,4,237,7559449587746101248,GALAXY,0.5910882,6714,56447,573,,0,0,0
1237655464853635759,231.261007716523,53.2759666391045,25.30437,21.93391,20.35,19.44061,18.8504,2326,301,4,236,7559450137501915136,GALAXY,0.5113882,6714,56447,575,,0,0,0
1237655464853635629,231.088799526965,53.2319743895322,21.17153,21.37529,20.06391,19.2279,18.87094,2326,301,4,236,7559438592629823488,GALAXY,0.5965277,6714,56447,533,,0,0,0
1237655464853570246,230.905245465212,53.2532179023116,22.02458,21.36116,19.53471,18.78366,18.39111,2326,301,4,235,7559439967019358208,GALAXY,0.4510116,6714,56447,538,,0,0,0
1237655464853569917,230.801156724248,53.3742558737022,23.17296,21.26245,20.18429,19.40349,19.06607,2326,301,4,235,7559439692141451264,GALAXY,0.5407327,6714,56447,537,,0,0,0
1237655464853569754,230.86435627973,53.3773471607482,24.90969,21.48683,20.36639,19.59625,18.92627,2326,301,4,235,7559439417263544320,GALAXY,0.5141074,6714,56447,536,,0,0,0
1237655464853504666,230.701339847777,53.369594266058,23.14771,22.1375,20.7128,19.61366,19.19169,2326,301,4,234,7559439142385637376,GALAXY,0.6003118,6714,56447,535,,0,0,0
1237655464853504437,230.584582154789,53.4009106922376,21.70282,21.44732,19.69845,18.57037,18.09554,2326,301,4,234,7559440516775172096,GALAXY,0.5513517,6714,56447,540,,0,0,0
1237655349425537313,231.147284139026,54.1435003326912,22.57439,20.69627,18.98863,18.37392,18.04321,2299,301,5,223,7559440791653079040,GALAXY,0.3923882,6714,56447,541,,0,0,0
1237655349425471887,231.046898468332,54.1028488582491,25.81647,22.25758,21.0539,19.99668,19.38392,2299,301,5,222,7559441341408892928,GALAXY,0.541733,6714,56447,543,,0,0,0
1237655349425471675,230.974656282705,54.227292221235,21.02667,19.2185,17.82952,17.32498,16.98125,2299,301,5,222,7559441616286799872,GALAXY,0.2041161,6714,56447,544,,0,0,0
1237655349425471667,230.87646324492,54.169273235544,22.50237,20.11162,18.4879,17.98724,17.55702,2299,301,5,222,7559441066530985984,GALAXY,0.2883106,6714,56447,542,,0,0,0
1237655465390178913,230.59833551898,54.0201549390718,25.28922,22.3017,20.65057,19.71573,19.21762,2326,301,5,231,7559443540432148480,GALAXY,0.4879735,6714,56447,551,,0,0,0
1237655465390178729,230.512467109018,54.0866479689715,24.29539,21.47808,19.95111,19.11935,18.61286,2326,301,5,231,7559442990676334592,GALAXY,0.4734753,6714,56447,549,,0,0,0
1237655465390178541,230.72329174578,54.0852400805217,22.11413,19.81418,18.29177,17.74808,17.42263,2326,301,5,231,7559442715798427648,GALAXY,0.2879117,6714,56447,548,,0,0,0
1237655464853439038,230.592026316848,53.5659034347267,24.5738,22.16485,20.76556,19.85267,19.32224,2326,301,4,233,7559435294094940160,GALAXY,0.5277455,6714,56447,521,,0,0,0
1237655464853438995,230.617617917694,53.6105497913763,26.82264,21.7401,19.92663,18.98548,18.81282,2326,301,4,233,7559437767996102656,GALAXY,0.5065386,6714,56447,530,,0,0,0
1237655464853373314,230.306431739699,53.7342906425445,26.16427,22.10296,20.47858,19.61459,18.94738,2326,301,4,232,7559434744339126272,GALAXY,0.4779205,6714,56447,519,,0,0,0
1237655464316633722,230.257516594227,53.1403597162471,24.43723,21.31676,19.50017,18.86044,18.47199,2326,301,3,234,7559432820193777664,GALAXY,0.3555693,6714,56447,512,,0,0,0
1237655465390178998,230.730384759813,54.0597781480261,22.63519,21.61364,19.94558,19.12017,18.69309,2326,301,5,231,7559444090187962368,GALAXY,0.4724301,6714,56447,553,,0,0,0
1237657774468890936,134.880403094584,39.1318616880626,18.87101,17.56104,16.86257,16.44978,16.18288,2864,301,2,184,1348847649507272704,GALAXY,0.1553725,1198,52669,71,,0,0,0
1237657774468891146,134.823460497911,39.2467645021943,19.3576,18.16043,17.65697,17.39888,17.3347,2864,301,2,184,1348848199263086592,GALAXY,0.02407258,1198,52669,73,,0,0,0
1237657774468956360,134.967857818618,39.2344114416634,19.90197,17.98007,17.07753,16.67475,16.35484,2864,301,2,185,1348847924385179648,GALAXY,0.09509642,1198,52669,72,,0,0,0
1237657774468956387,134.940940084203,39.2979154663711,19.95599,18.03715,17.077,16.66705,16.34461,2864,301,2,185,1348849573652621312,GALAXY,0.09411141,1198,52669,78,,0,0,0
1237657774468956418,135.024713650338,39.2661144320278,20.05749,18.16322,17.24519,16.82695,16.49894,2864,301,2,185,1348849023896807424,GALAXY,0.09749129,1198,52669,76,,0,0,0
1237657774469021819,135.026984491837,39.305830517731,20.3425,18.47971,17.52555,17.09326,16.75529,2864,301,2,186,1348850123408435200,GALAXY,0.09745385,1198,52669,80,,0,0,0
1237657774469021842,135.023684274431,39.3227044666632,19.80962,17.90791,16.95936,16.48255,16.12191,2864,301,2,186,1348849848530528256,GALAXY,0.09416541,1198,52669,79,,0,0,0
1237658201811845368,133.741983640489,38.0875579961779,20.5252,18.68528,17.80685,17.43031,17.12336,2963,301,6,88,1348861668280526848,GALAXY,0.08576091,1198,52669,122,,0,0,0
1237658201811910841,133.809549088733,38.1734792056446,20.12749,18.12546,17.17188,16.72374,16.36576,2963,301,6,89,1348861943158433792,GALAXY,0.0859279,1198,52669,123,,0,0,0
1237649920581042974,26.1938996456553,14.5232530218511,25.98288,22.95883,21.9744,20.75211,19.55468,1035,301,5,134,12443646297986324480,GALAXY,0.838122,11052,58438,729,,0,0,0
1237649920581107948,26.2737768292043,14.5823484371086,21.85548,21.92601,21.91436,21.67833,21.64207,1035,301,5,135,12443648771887486976,GALAXY,0.8413514,11052,58438,738,,0,0,0
1237655501888357942,256.59926595596,32.3438224551834,24.38316,23.20477,21.2444,20.13674,19.44975,2335,301,1,93,13120327536637925376,GALAXY,0.6703107,11653,58526,785,,0,0,0
1237657628976152642,134.136351063116,39.1410507343734,15.80798,14.02073,13.22376,12.84798,12.6004,2830,301,3,173,1348877061443315712,GALAXY,0.0418694,1198,52669,178,,0,0,0
1237668330953179394,217.682053467924,13.9523917623866,18.53489,17.80501,17.63316,17.62405,17.57833,5322,301,1,55,3092870754614667264,GALAXY,0.01731161,2747,54233,86,,0,0,0
1237668330953179410,217.686626397886,13.8402341191938,19.79895,18.92985,18.24949,17.91107,17.5605,5322,301,1,55,3092869929980946432,GALAXY,0.2722373,2747,54233,83,,0,0,0
1237668330953310355,217.928472698869,13.8796242174888,17.67931,16.29361,15.56749,15.17447,14.83154,5322,301,1,57,3092873228515829760,GALAXY,0.03159505,2747,54233,95,,0,0,0
1237668330953310384,217.995802439015,13.9299106653597,18.46596,16.60645,15.77188,15.33381,15.07704,5322,301,1,57,3092873503393736704,GALAXY,0.06110891,2747,54233,96,,0,0,0
1237668330953376003,218.108436071043,13.8869443072319,18.95691,17.84369,17.47418,17.22239,17.00837,5322,301,1,58,3092862233399552000,GALAXY,0.04617899,2747,54233,55,,0,0,0
1237668330953376034,218.15860238026,13.8775748650639,19.35115,17.53879,16.73308,16.41372,16.11581,5322,301,1,58,3092861683643738112,GALAXY,0.1040627,2747,54233,53,,0,0,0
1237668330953376037,218.167748306419,13.896661899335,19.51312,17.75793,17.00974,16.55391,16.20173,5322,301,1,58,3092859209742575616,GALAXY,0.0775402,2747,54233,44,,0,0,0
1237668330953376087,218.121083645114,13.8697080862003,22.17042,20.03826,18.46039,17.82594,17.37913,5322,301,1,58,3092860859010017280,GALAXY,0.2733755,2747,54233,50,,0,0,0
1237668330953441534,218.310612207534,13.8427035867228,16.93463,15.81413,15.3837,15.16285,15.01222,5322,301,1,59,3092858934864668672,GALAXY,0.01744187,2747,54233,43,,0,0,0
1237668330953442010,218.291903542745,13.7340333108344,24.07349,20.9903,19.2753,18.52339,18.05997,5322,301,1,59,3092860034376296448,GALAXY,0.4487782,2747,54233,47,,0,0,0
1237668330953506979,218.454388056281,13.8112423108135,19.47364,17.71824,16.93701,16.57451,16.27944,5322,301,1,60,3092860584132110336,GALAXY,0.05359688,2747,54233,49,,0,0,0
1237668330953572404,218.568899328963,13.7598424725565,18.90415,16.86676,15.88797,15.43862,15.09151,5322,301,1,61,3092852612672808960,GALAXY,0.08254836,2747,54233,20,,0,0,0
1237668330953572568,218.598637891057,13.8069670987953,20.2771,18.38794,17.4813,17.05861,16.75088,5322,301,1,61,3092847389992577024,GALAXY,0.08258832,2747,54233,1,,0,0,0
1237668330953572591,218.617637172416,13.7961963904169,20.47355,18.73526,17.83239,17.37801,17.05523,5322,301,1,61,3092848764382111744,GALAXY,0.09302811,2747,54233,6,,0,0,0
1237668330953572595,218.633728746843,13.8293359953725,19.29492,17.60573,16.80147,16.34242,16.08011,5322,301,1,61,3092849863893739520,GALAXY,0.1345916,2747,54233,10,,0,0,0
1237668330953572651,218.620555386493,13.8599516796194,19.04402,17.48351,16.76852,16.37074,16.18921,5322,301,1,61,3092847939748390912,GALAXY,0.09862994,2747,54233,3,,0,0,0
1237678600242528470,26.2341697943152,15.4719576913763,22.90875,25.38317,21.38289,20.13905,19.47162,7713,301,1,399,12443650696032835584,GALAXY,0.6293275,11052,58438,745,,0,0,0
1237678600242594023,26.3343646525067,15.428873660084,21.88183,21.3923,20.74398,20.90498,20.81961,7713,301,1,400,12443661691149113344,GALAXY,0.2344501,11052,58438,785,,0,0,0
1237678600242594334,26.3055877973864,15.4558292161652,23.40027,23.02861,21.48198,20.4666,19.59769,7713,301,1,400,12443651245788649472,GALAXY,0.814839,11052,58438,747,,0,0,0
1237678600242725730,26.6041510548541,15.3023793128345,22.72589,24.64548,22.39383,20.62937,19.70655,7713,301,1,402,12443671586753763328,GALAXY,0.8638334,11052,58438,821,,0,0,0
1237678661438538324,33.3330567887164,4.14855261789096,26.34876,22.63251,20.65633,19.43937,19.17821,7727,301,3,288,4803121255346886656,GALAXY,0.5764836,4266,55486,117,,0,0,0
1237678661438538209,33.2830904026253,4.12138684294322,24.51187,22.29637,20.55086,19.70837,19.28531,7727,301,3,288,4803116857300375552,GALAXY,0.5078123,4266,55486,101,,0,0,0
1237679167159730387,26.1238336491065,15.1792902524203,21.88835,21.80329,21.45681,21.1229,20.88899,7845,301,1,117,12443643274329348096,GALAXY,0.99178,11052,58438,718,,0,0,0
1237679167159731051,26.1614886568237,15.1278766980563,23.07003,23.78431,21.56963,20.27527,19.51052,7845,301,1,117,12443642999451441152,GALAXY,0.6644319,11052,58438,717,,0,0,0
1237679167159796102,26.2918703321825,15.2545837335911,26.09946,21.70104,20.32649,19.65622,19.2061,7845,301,1,118,12443653719689811968,GALAXY,0.3550032,11052,58438,756,,0,0,0
1237679167159796319,26.237231392539,15.1886967582272,23.39983,23.52716,21.51805,20.48861,19.79792,7845,301,1,118,12443652345300277248,GALAXY,0.678354,11052,58438,751,,0,0,0
1237679167696601889,26.1725115555539,15.5472263372412,23.91403,23.11434,21.19397,20.05976,19.38828,7845,301,2,117,12443649596521207808,GALAXY,0.6177965,11052,58438,741,,0,0,0
1237678661438537969,33.3171997938249,4.16808094618947,21.76257,20.20978,18.61508,18.05719,17.65658,7727,301,3,288,4803120430713165824,GALAXY,0.3455148,4266,55486,114,,0,0,0
1237678661438537960,33.2923937305491,4.17978896663713,22.55095,20.38608,18.84241,18.21771,17.81207,7727,301,3,288,4803118781445724160,GALAXY,0.2865827,4266,55486,108,,0,0,0
1237678661438407068,32.9782054367136,4.12307207248527,22.07452,21.63642,20.52978,19.7626,19.40545,7727,301,3,286,4803140221922465792,GALAXY,0.5308559,4266,55486,186,,0,0,0
1237678661438407043,32.9676449259537,4.13829977074901,22.87986,22.12765,20.43902,19.51538,19.00309,7727,301,3,286,4803138847532931072,GALAXY,0.4693281,4266,55486,181,,0,0,0
1237678661438406992,32.9446878200535,4.14113378755919,23.08537,22.3989,21.16102,20.14753,19.84059,7727,301,3,286,4803139947044558848,GALAXY,0.6718044,4266,55486,185,,0,0,0
1237678661438341886,32.8933868523224,4.19354448398733,22.57194,22.53679,20.83015,19.84419,19.61539,7727,301,3,285,4803139122410838016,GALAXY,0.5280424,4266,55486,182,,0,0,0
1237678661438341839,32.8380030841314,4.03058625010819,26.5248,22.74092,20.92808,19.79719,19.42188,7727,301,3,285,4803141596312000512,GALAXY,0.5720727,4266,55486,191,,0,0,0
1237678661438341381,32.8961083570936,4.13286011913569,25.17594,20.80356,19.11167,18.38212,18.00761,7727,301,3,285,4803142420945721344,GALAXY,0.3413915,4266,55486,194,,0,0,0
1237678660901732855,33.4402445482295,3.65641054139893,21.83736,21.54367,20.79182,19.90796,19.52918,7727,301,2,289,4803115208032933888,GALAXY,0.6781754,4266,55486,95,,0,0,0
1237678660901667016,33.3416244242344,3.70654335857613,23.72601,20.56717,18.89196,18.29327,17.95353,7727,301,2,288,4803115757788747776,GALAXY,0.3008964,4266,55486,97,,0,0,0
1237658201811910878,133.871013361187,38.201027884419,19.94319,18.46435,17.83769,17.43296,17.15209,2963,301,6,89,1348861393402619904,GALAXY,0.08691165,1198,52669,121,,0,0,0
1237658201811976268,133.987168173479,38.1986941072688,19.73142,18.35917,17.47717,17.01996,16.7139,2963,301,6,90,1348853147065411584,GALAXY,0.165456,1198,52669,91,,0,0,0
1237658201811976341,134.089850038785,38.2295865158773,18.47585,16.97258,16.29026,15.8985,15.64699,2963,301,6,90,1348851222920062976,GALAXY,0.08737727,1198,52669,84,,0,0,0
1237658201811976343,134.032647360988,38.309333135755,19.59243,18.56276,18.05675,17.7139,17.51484,2963,301,6,90,1348853696821225472,GALAXY,0.1352752,1198,52669,93,,0,0,0
1237658201811976364,134.069793304389,38.2961470935878,19.60349,18.05329,17.23778,16.78437,16.46855,2963,301,6,90,1348852047553783808,GALAXY,0.0765966,1198,52669,87,,0,0,0
1237658201812041972,134.195949578882,38.3938696388124,19.83754,18.44586,17.79138,17.39923,17.16657,2963,301,6,91,1348852322431690752,GALAXY,0.1637905,1198,52669,88,,0,0,0
1237658201812369775,134.991624734121,38.8781272793341,19.91296,18.21805,17.36494,16.87576,16.54573,2963,301,6,96,1348845175606110208,GALAXY,0.0590848,1198,52669,62,,0,0,0
1237658201812435132,135.011957777909,38.8868744680691,18.8929,17.21524,16.42893,15.97401,15.66402,2963,301,6,97,1348844900728203264,GALAXY,0.09409355,1198,52669,61,,0,0,0
1237662224589390170,143.439663184477,31.8903434656922,22.28338,21.95108,21.19739,20.41384,20.0858,3900,301,3,146,11742209276718110720,GALAXY,0.7178182,10429,58145,724,,0,0,0
1237664092904947750,143.242570848709,31.7098836414997,22.9536,22.56417,21.89306,21.18999,21.95137,4335,301,3,219,11742199930869274624,GALAXY,0.7210066,10429,58145,690,,0,0,0
1237664092904948471,143.312905457038,31.6651864223109,22.64318,22.9999,22.11759,21.41691,21.019,4335,301,3,219,11742201030380902400,GALAXY,0.8423229,10429,58145,694,,0,0,0
1237664092905013688,143.36963593959,31.7032059544367,22.79201,22.14125,21.32289,20.59806,19.94388,4335,301,3,220,11742201580136716288,GALAXY,0.2550765,10429,58145,696,,0,0,0
1237664092905013834,143.42640718178,31.7244619501517,22.58301,22.52868,21.77326,20.96448,20.34131,4335,301,3,220,11742202129892530176,GALAXY,0.7169036,10429,58145,698,,0,0,0
1237664092905079531,143.594585179212,31.8500722011767,24.38456,23.01338,22.4485,21.85981,21.20467,4335,301,3,221,11742209001840203776,GALAXY,0.9348698,10429,58145,723,,0,0,0
1237664093441884665,143.174020834444,32.0431722980301,22.73361,21.99094,21.35951,20.86968,21.03439,4335,301,4,220,11742196082578577408,GALAXY,0.71027,10429,58145,676,,0,0,0
1237664093441884684,143.145774397603,32.1005798322431,22.57776,22.28918,21.36724,20.66121,21.26505,4335,301,4,220,11742196357456484352,GALAXY,0.8908497,10429,58145,677,,0,0,0
1237664093441884860,143.15108960798,32.1820365023357,23.16595,22.53461,21.4649,21.09647,20.01128,4335,301,4,220,11742195807700670464,GALAXY,0.9961514,10429,58145,675,,0,0,0
1237664093441949786,143.380542215614,32.2289899711654,25.08398,23.94719,22.8706,22.05389,22.05593,4335,301,4,221,11742206253061134336,GALAXY,0.5883675,10429,58145,713,,0,0,0
1237664093441950184,143.342151497089,32.1302732650124,23.01221,22.79471,22.35553,21.53914,22.87425,4335,301,4,221,11742206802816948224,GALAXY,0.8088544,10429,58145,715,,0,0,0
1237664093441950187,143.362567939432,32.0965771088976,22.16587,22.66833,22.04502,21.54433,21.96919,4335,301,4,221,11742207352572762112,GALAXY,0.8168492,10429,58145,717,,0,0,0
1237664093441950291,143.38500583967,32.1237823336185,21.80581,21.53513,20.95467,20.36411,21.46899,4335,301,4,221,11742207627450669056,GALAXY,1.072449,10429,58145,718,,0,0,0
1237664093441950312,143.305326436937,32.2827226287179,23.19619,22.81954,22.26229,21.75099,21.54304,4335,301,4,221,11742205703305320448,GALAXY,0.8272677,10429,58145,711,,0,0,0
1237667322176143497,166.838809064646,25.5893354483147,23.62928,20.57177,18.96268,18.33741,18.03627,5087,301,2,107,7220533098081179648,GALAXY,0.3131516,6413,56336,498,,0,0,0
1237667322176143863,166.892185635705,25.5023235365462,22.68742,21.09035,19.26665,18.51291,18.14608,5087,301,2,107,7220532823203272704,GALAXY,0.4360132,6413,56336,497,,0,0,0
1237667322176275157,167.239028562741,25.6518306120733,24.53545,21.86136,20.44471,19.5321,18.91549,5087,301,2,109,7220544368075364352,GALAXY,0.6120442,6413,56336,539,,0,0,0
